"drug","disease","classification","notes","drug_url","disease_url"
"Simvastatin","type 2 diabetes mellitus","NOT","","http://www.drugbank.ca/drugs/DB00641","http://www.disease-ontology.org/term/DOID%3A9352"
"Sirolimus","prostate cancer","DM","","http://www.drugbank.ca/drugs/DB00877","http://www.disease-ontology.org/term/DOID%3A10283"
"Sitagliptin","type 2 diabetes mellitus","DM","","http://www.drugbank.ca/drugs/DB01261","http://www.disease-ontology.org/term/DOID%3A9352"
"Solifenacin","multiple sclerosis","SYM","","http://www.drugbank.ca/drugs/DB01591","http://www.disease-ontology.org/term/DOID%3A2377"
"Sorafenib","kidney cancer","DM","","http://www.drugbank.ca/drugs/DB00398","http://www.disease-ontology.org/term/DOID%3A263"
"Sorafenib","liver cancer","DM","","http://www.drugbank.ca/drugs/DB00398","http://www.disease-ontology.org/term/DOID%3A3571"
"Sorafenib","thyroid cancer","DM","","http://www.drugbank.ca/drugs/DB00398","http://www.disease-ontology.org/term/DOID%3A1781"
"Spironolactone","dilated cardiomyopathy","SYM","or DM? ","http://www.drugbank.ca/drugs/DB00421","http://www.disease-ontology.org/term/DOID%3A12930"
"Spironolactone","epilepsy syndrome","NOT","","http://www.drugbank.ca/drugs/DB00421","http://www.disease-ontology.org/term/DOID%3A1826"
"Spironolactone","hypertension","NOT","","http://www.drugbank.ca/drugs/DB00421","http://www.disease-ontology.org/term/DOID%3A10763"
"Stavudine","acquired immunodeficiency syndrome","DM","","http://www.drugbank.ca/drugs/DB00649","http://www.disease-ontology.org/term/DOID%3A635"
"Streptozocin","hematologic cancer","NOT","","http://www.drugbank.ca/drugs/DB00428","http://www.disease-ontology.org/term/DOID%3A2531"
"Sucralfate","hypertension","NOT","","http://www.drugbank.ca/drugs/DB00364","http://www.disease-ontology.org/term/DOID%3A10763"
"Sulfadiazine","malaria","NOT","not used anymore","http://www.drugbank.ca/drugs/DB00359","http://www.disease-ontology.org/term/DOID%3A12365"
"Sulfasalazine","Crohn's disease","DM","","http://www.drugbank.ca/drugs/DB00795","http://www.disease-ontology.org/term/DOID%3A8778"
"Sulfasalazine","ankylosing spondylitis","DM","","http://www.drugbank.ca/drugs/DB00795","http://www.disease-ontology.org/term/DOID%3A7147"
"Sulfasalazine","epilepsy syndrome","NOT","","http://www.drugbank.ca/drugs/DB00795","http://www.disease-ontology.org/term/DOID%3A1826"
"Sulfasalazine","rheumatoid arthritis","DM","","http://www.drugbank.ca/drugs/DB00795","http://www.disease-ontology.org/term/DOID%3A7148"
"Sulfasalazine","ulcerative colitis","DM","","http://www.drugbank.ca/drugs/DB00795","http://www.disease-ontology.org/term/DOID%3A8577"
"Sulindac","osteoarthritis","SYM","","http://www.drugbank.ca/drugs/DB00605","http://www.disease-ontology.org/term/DOID%3A8398"
"Sumatriptan","migraine","SYM","","http://www.drugbank.ca/drugs/DB00669","http://www.disease-ontology.org/term/DOID%3A6364"
"Sunitinib","kidney cancer","DM","","http://www.drugbank.ca/drugs/DB01268","http://www.disease-ontology.org/term/DOID%3A263"
"Sunitinib","pancreatic cancer","DM","","http://www.drugbank.ca/drugs/DB01268","http://www.disease-ontology.org/term/DOID%3A1793"
"Tacrolimus","atopic dermatitis","DM","","http://www.drugbank.ca/drugs/DB00864","http://www.disease-ontology.org/term/DOID%3A3310"
"Tadalafil","chronic obstructive pulmonary disease","NOT","","http://www.drugbank.ca/drugs/DB00820","http://www.disease-ontology.org/term/DOID%3A3083"
"Tadalafil","hypertension","DM","pulm htn","http://www.drugbank.ca/drugs/DB00820","http://www.disease-ontology.org/term/DOID%3A10763"
"Tadalafil","systemic scleroderma","NOT","","http://www.drugbank.ca/drugs/DB00820","http://www.disease-ontology.org/term/DOID%3A418"
"Tamoxifen","breast cancer","DM","","http://www.drugbank.ca/drugs/DB00675","http://www.disease-ontology.org/term/DOID%3A1612"
"Tamoxifen","pancreatic cancer","NOT","","http://www.drugbank.ca/drugs/DB00675","http://www.disease-ontology.org/term/DOID%3A1793"
"Tamsulosin","prostate cancer","SYM","","http://www.drugbank.ca/drugs/DB00706","http://www.disease-ontology.org/term/DOID%3A10283"
"Tazarotene","psoriasis","DM","","http://www.drugbank.ca/drugs/DB00799","http://www.disease-ontology.org/term/DOID%3A8893"
"Telbivudine","hepatitis B","DM","","http://www.drugbank.ca/drugs/DB01265","http://www.disease-ontology.org/term/DOID%3A2043"
"Telmisartan","coronary artery disease","DM","","http://www.drugbank.ca/drugs/DB00966","http://www.disease-ontology.org/term/DOID%3A3393"
"Telmisartan","hypertension","DM","","http://www.drugbank.ca/drugs/DB00966","http://www.disease-ontology.org/term/DOID%3A10763"
"Temozolomide","brain cancer","DM","","http://www.drugbank.ca/drugs/DB00853","http://www.disease-ontology.org/term/DOID%3A1319"
"Temozolomide","malignant glioma","DM","","http://www.drugbank.ca/drugs/DB00853","http://www.disease-ontology.org/term/DOID%3A3070"
"Temozolomide","melanoma","NOT","in research","http://www.drugbank.ca/drugs/DB00853","http://www.disease-ontology.org/term/DOID%3A1909"
"Temozolomide","skin cancer","NOT","in research","http://www.drugbank.ca/drugs/DB00853","http://www.disease-ontology.org/term/DOID%3A4159"
"Temsirolimus","kidney cancer","DM","","http://www.drugbank.ca/drugs/DB06287","http://www.disease-ontology.org/term/DOID%3A263"
"Teniposide","hematologic cancer","DM","","http://www.drugbank.ca/drugs/DB00444","http://www.disease-ontology.org/term/DOID%3A2531"
"Teniposide","lung cancer","DM","","http://www.drugbank.ca/drugs/DB00444","http://www.disease-ontology.org/term/DOID%3A1324"
"Teniposide","lymphatic system cancer","DM","","http://www.drugbank.ca/drugs/DB00444","http://www.disease-ontology.org/term/DOID%3A0060073"
"Terazosin","hypertension","DM","","http://www.drugbank.ca/drugs/DB01162","http://www.disease-ontology.org/term/DOID%3A10763"
"Terbutaline","asthma","DM","","http://www.drugbank.ca/drugs/DB00871","http://www.disease-ontology.org/term/DOID%3A2841"
"Testosterone","breast cancer","NOT","","http://www.drugbank.ca/drugs/DB00624","http://www.disease-ontology.org/term/DOID%3A1612"
"Testosterone Propionate","breast cancer","NOT","","http://www.drugbank.ca/drugs/DB01420","http://www.disease-ontology.org/term/DOID%3A1612"
"Thalidomide","hematologic cancer","DM","","http://www.drugbank.ca/drugs/DB01041","http://www.disease-ontology.org/term/DOID%3A2531"
"Thalidomide","leprosy","NOT","","http://www.drugbank.ca/drugs/DB01041","http://www.disease-ontology.org/term/DOID%3A1024"
"Theophylline","asthma","DM","","http://www.drugbank.ca/drugs/DB00277","http://www.disease-ontology.org/term/DOID%3A2841"
"Thioridazine","schizophrenia","NOT","withdrawn due to card arrhy","http://www.drugbank.ca/drugs/DB00679","http://www.disease-ontology.org/term/DOID%3A5419"
"Thiotepa","breast cancer","DM","","http://www.drugbank.ca/drugs/DB04572","http://www.disease-ontology.org/term/DOID%3A1612"
"Thiotepa","hematologic cancer","DM","","http://www.drugbank.ca/drugs/DB04572","http://www.disease-ontology.org/term/DOID%3A2531"
"Thiotepa","sarcoma","DM","Pilot classification: disease-modifying; Pilot notes:","http://www.drugbank.ca/drugs/DB04572","http://www.disease-ontology.org/term/DOID%3A1115"
"Thiotepa","urinary bladder cancer","DM","","http://www.drugbank.ca/drugs/DB04572","http://www.disease-ontology.org/term/DOID%3A11054"
"Thiothixene","schizophrenia","SYM","","http://www.drugbank.ca/drugs/DB01623","http://www.disease-ontology.org/term/DOID%3A5419"
"Tiagabine","bipolar disorder","SYM","Pilot classification: disease-modifying; Pilot notes:","http://www.drugbank.ca/drugs/DB00906","http://www.disease-ontology.org/term/DOID%3A3312"
"Tiagabine","epilepsy syndrome","NOT","can induce sz","http://www.drugbank.ca/drugs/DB00906","http://www.disease-ontology.org/term/DOID%3A1826"
"Ticagrelor","coronary artery disease","DM","","http://www.drugbank.ca/drugs/DB08816","http://www.disease-ontology.org/term/DOID%3A3393"
"Tiludronate","Paget's disease of bone","DM","","http://www.drugbank.ca/drugs/DB01133","http://www.disease-ontology.org/term/DOID%3A5408"
"Tiludronate","breast cancer","NOT","","http://www.drugbank.ca/drugs/DB01133","http://www.disease-ontology.org/term/DOID%3A1612"
